"filename", "language", "PostCSS", "HTML", "JSON", "comment", "blank", "total"
"c:\L1 fasi courses\P actually running\Argo.css", "PostCSS", 91, 0, 0, 0, 1, 92
"c:\L1 fasi courses\P actually running\Argo.html", "HTML", 0, 56, 0, 0, 5, 61
"c:\L1 fasi courses\P actually running\chiron.html", "HTML", 0, 51, 0, 0, 6, 57
"c:\L1 fasi courses\P actually running\danae.css", "PostCSS", 83, 0, 0, 0, 2, 85
"c:\L1 fasi courses\P actually running\danae.html", "HTML", 0, 33, 0, 0, 3, 36
"c:\L1 fasi courses\P actually running\discover.css", "PostCSS", 98, 0, 0, 1, 9, 108
"c:\L1 fasi courses\P actually running\discover.html", "HTML", 0, 106, 0, 1, 21, 128
"c:\L1 fasi courses\P actually running\home.css", "PostCSS", 241, 0, 0, 1, 22, 264
"c:\L1 fasi courses\P actually running\home.html", "HTML", 0, 45, 0, 0, 5, 50
"c:\L1 fasi courses\P actually running\index6.css", "PostCSS", 86, 0, 0, 0, 2, 88
"c:\L1 fasi courses\P actually running\index6.html", "HTML", 0, 33, 0, 0, 3, 36
"c:\L1 fasi courses\P actually running\index7.css", "PostCSS", 91, 0, 0, 0, 1, 92
"c:\L1 fasi courses\P actually running\index7.html", "HTML", 0, 46, 0, 0, 4, 50
"c:\L1 fasi courses\P actually running\index8.css", "PostCSS", 36, 0, 0, 0, 3, 39
"c:\L1 fasi courses\P actually running\index8.html", "HTML", 0, 26, 0, 0, 1, 27
"c:\L1 fasi courses\P actually running\index9.css", "PostCSS", 47, 0, 0, 0, 3, 50
"c:\L1 fasi courses\P actually running\index9.html", "HTML", 0, 24, 0, 0, 3, 27
"c:\L1 fasi courses\P actually running\mystere.css", "PostCSS", 56, 0, 0, 0, 5, 61
"c:\L1 fasi courses\P actually running\mystere.html", "HTML", 0, 76, 0, 0, 15, 91
"c:\L1 fasi courses\P actually running\orion.html", "HTML", 0, 53, 0, 0, 6, 59
"c:\L1 fasi courses\P actually running\polluxcastor.css", "PostCSS", 89, 0, 0, 0, 5, 94
"c:\L1 fasi courses\P actually running\polluxcastor.html", "HTML", 0, 50, 0, 0, 5, 55
"c:\L1 fasi courses\P actually running\questions.json", "JSON", 0, 0, 77, 0, 14, 91
"c:\L1 fasi courses\P actually running\story.css", "PostCSS", 150, 0, 0, 0, 5, 155
"c:\L1 fasi courses\P actually running\story.html", "HTML", 0, 141, 0, 0, 17, 158
"c:\L1 fasi courses\P actually running\test.css", "PostCSS", 32, 0, 0, 0, 7, 39
"c:\L1 fasi courses\P actually running\test.html", "HTML", 0, 24, 0, 0, 0, 24
"c:\L1 fasi courses\P actually running\verseau.html", "HTML", 0, 39, 0, 0, 4, 43
"c:\L1 fasi courses\P actually running\whatson.css", "PostCSS", 53, 0, 0, 0, 1, 54
"c:\L1 fasi courses\P actually running\whatson.html", "HTML", 0, 40, 0, 0, 6, 46
"Total", "-", 1153, 843, 77, 3, 184, 2260
